"";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"Class: ctrl300";0,875;0,896551724137931;0,7;0,962962962962963;0,7;0,875;0,777777777777778;0,216216216216216;0,189189189189189;0,27027027027027;0,885775862068966
"Class: ctrl600";1;0,92;0,857142857142857;1;0,857142857142857;1;0,923076923076923;0,324324324324324;0,324324324324324;0,378378378378378;0,96
"Class: Pym300exp";0,222222222222222;0,892857142857143;0,4;0,78125;0,4;0,222222222222222;0,285714285714286;0,243243243243243;0,0540540540540541;0,135135135135135;0,557539682539683
"Class: Pym600exp";0,75;0,931034482758621;0,75;0,931034482758621;0,75;0,75;0,75;0,216216216216216;0,162162162162162;0,216216216216216;0,84051724137931
